Report #2 for 10000 inserts.
Iteration #387. Elapsed time 0seconds.
Iteration #388. Elapsed time 0seconds.
Iteration #389. Elapsed time 0seconds.
Iteration #390. Elapsed time 0seconds.
Iteration #391. Elapsed time 0seconds.
Iteration #392. Elapsed time 0seconds.
Iteration #393. Elapsed time 0seconds.
Iteration #394. Elapsed time 0seconds.
Iteration #395. Elapsed time 0seconds.
Iteration #396. Elapsed time 0seconds.
Iteration #397. Elapsed time 0seconds.
Iteration #398. Elapsed time 0seconds.
_______________________End________________________
Average time: 0
Iteration amount: 399
TPS: 0
